,div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,PredictedResult
9343,E0,25/09/17,Arsenal,West Brom,2,0,H,1.0,0.0,H,2017-18,H
9344,E0,30/09/17,Bournemouth,Leicester,0,0,D,0.0,0.0,D,2017-18,D
9345,E0,30/09/17,Chelsea,Man City,0,1,A,0.0,0.0,D,2017-18,D
9346,E0,30/09/17,Huddersfield,Tottenham,0,4,A,0.0,3.0,A,2017-18,A
9347,E0,30/09/17,Man United,Crystal Palace,4,0,H,2.0,0.0,H,2017-18,H
9348,E0,30/09/17,Stoke,Southampton,2,1,H,1.0,0.0,H,2017-18,A
9349,E0,30/09/17,West Brom,Watford,2,2,D,2.0,1.0,H,2017-18,H
9350,E0,30/09/17,West Ham,Swansea,1,0,H,0.0,0.0,D,2017-18,H
9351,E0,1/10/2017,Arsenal,Brighton,2,0,H,1.0,0.0,H,2017-18,H
9352,E0,1/10/2017,Everton,Burnley,0,1,A,0.0,1.0,A,2017-18,H
9353,E0,1/10/2017,Newcastle,Liverpool,1,1,D,1.0,1.0,D,2017-18,D
9354,E0,14/10/17,Burnley,West Ham,1,1,D,0.0,1.0,A,2017-18,A
9355,E0,14/10/17,Crystal Palace,Chelsea,2,1,H,2.0,1.0,H,2017-18,A
9356,E0,14/10/17,Liverpool,Man United,0,0,D,0.0,0.0,D,2017-18,D
9357,E0,14/10/17,Man City,Stoke,7,2,H,3.0,1.0,H,2017-18,H
9358,E0,14/10/17,Swansea,Huddersfield,2,0,H,1.0,0.0,H,2017-18,H
9359,E0,14/10/17,Tottenham,Bournemouth,1,0,H,0.0,0.0,D,2017-18,H
9360,E0,14/10/17,Watford,Arsenal,2,1,H,0.0,1.0,A,2017-18,A
9361,E0,15/10/17,Brighton,Everton,1,1,D,0.0,0.0,D,2017-18,D
9362,E0,15/10/17,Southampton,Newcastle,2,2,D,0.0,1.0,A,2017-18,H
9363,E0,16/10/17,Leicester,West Brom,1,1,D,0.0,0.0,D,2017-18,A
9364,E0,20/10/17,West Ham,Brighton,0,3,A,0.0,2.0,A,2017-18,A
9365,E0,21/10/17,Chelsea,Watford,4,2,H,1.0,1.0,D,2017-18,H
9366,E0,21/10/17,Huddersfield,Man United,2,1,H,2.0,0.0,H,2017-18,H
9367,E0,21/10/17,Man City,Burnley,3,0,H,1.0,0.0,H,2017-18,H
9368,E0,21/10/17,Newcastle,Crystal Palace,1,0,H,0.0,0.0,D,2017-18,H
9369,E0,21/10/17,Southampton,West Brom,1,0,H,0.0,0.0,D,2017-18,H
9370,E0,21/10/17,Stoke,Bournemouth,1,2,A,0.0,2.0,A,2017-18,A
9371,E0,21/10/17,Swansea,Leicester,1,2,A,0.0,1.0,A,2017-18,H
9372,E0,22/10/17,Everton,Arsenal,2,5,A,1.0,1.0,D,2017-18,A
9373,E0,22/10/17,Tottenham,Liverpool,4,1,H,3.0,1.0,H,2017-18,A
9374,E0,28/10/17,Arsenal,Swansea,2,1,H,0.0,1.0,A,2017-18,A
9375,E0,28/10/17,Bournemouth,Chelsea,0,1,A,0.0,0.0,D,2017-18,A
9376,E0,28/10/17,Crystal Palace,West Ham,2,2,D,0.0,2.0,A,2017-18,H
9377,E0,28/10/17,Liverpool,Huddersfield,3,0,H,0.0,0.0,D,2017-18,H
9378,E0,28/10/17,Man United,Tottenham,1,0,H,0.0,0.0,D,2017-18,H
9379,E0,28/10/17,Watford,Stoke,0,1,A,0.0,1.0,A,2017-18,A
9380,E0,28/10/17,West Brom,Man City,2,3,A,1.0,2.0,A,2017-18,A
9381,E0,29/10/17,Brighton,Southampton,1,1,D,0.0,1.0,A,2017-18,H
9382,E0,29/10/17,Leicester,Everton,2,0,H,2.0,0.0,H,2017-18,D
9383,E0,30/10/17,Burnley,Newcastle,1,0,H,0.0,0.0,D,2017-18,H
9384,E0,4/11/2017,Huddersfield,West Brom,1,0,H,1.0,0.0,H,2017-18,H
9385,E0,4/11/2017,Newcastle,Bournemouth,0,1,A,0.0,0.0,D,2017-18,A
9386,E0,4/11/2017,Southampton,Burnley,0,1,A,0.0,0.0,D,2017-18,H
9387,E0,4/11/2017,Stoke,Leicester,2,2,D,1.0,1.0,D,2017-18,H
9388,E0,4/11/2017,Swansea,Brighton,0,1,A,0.0,1.0,A,2017-18,A
9389,E0,4/11/2017,West Ham,Liverpool,1,4,A,0.0,2.0,A,2017-18,A
9390,E0,5/11/2017,Chelsea,Man United,1,0,H,0.0,0.0,D,2017-18,H
9391,E0,5/11/2017,Everton,Watford,3,2,H,0.0,0.0,D,2017-18,H
9392,E0,5/11/2017,Man City,Arsenal,3,1,H,1.0,0.0,H,2017-18,D
9393,E0,5/11/2017,Tottenham,Crystal Palace,1,0,H,0.0,0.0,D,2017-18,H
