Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA
23.09.2006;Hamburg;Werder Bremen;1;1;D;26;325;26;255;315;255;25;325;27;26;30;26;24;325;25;27;32;24;24;29;275;24;32;27;25;32;25
23.09.2006;Hannover;Leverkusen;1;1;D;25;325;27;255;315;255;245;33;27;25;32;25;25;325;24;255;325;25;275;29;24;238;34;262;24;32;25
23.09.2006;Mainz;Hertha;1;1;D;237;32;29;255;315;255;25;325;27;24;31;27;26;32;237;255;315;255;262;29;25;25;32;26;25;31;25
23.09.2006;Schalke 04;Wolfsburg;2;0;H;14;433;75;14;41;70;145;40;72;15;38;55;14;375;70;145;375;70;144;35;70;144;375;70;145;36;65
23.09.2006;Stuttgart;Ein Frankfurt;1;1;D;183;33;433;19;325;36;187;33;41;185;32;38;18;32;40;185;325;40;18;31;40;191;32;375;18;325;375
24.09.2006;Bochum;Bielefeld;2;1;H;21;325;34;20;325;34;205;33;345;21;31;32;19;325;34;21;32;32;21;30;32;191;34;36;22;31;29
24.09.2006;Cottbus;Nurnberg;1;1;D;24;325;28;255;315;255;25;325;27;24;31;27;225;32;275;24;32;27;237;30;27;24;32;27;23;32;265
29.09.2006;Dortmund;Hannover;2;2;D;161;36;55;155;37;54;16;36;55;165;35;45;153;35;55;16;36;50;161;33;50;162;35;50;155;35;50
30.09.2006;Aachen;Bochum;2;1;H;195;32;40;19;325;375;195;33;38;20;32;33;191;32;35;20;325;34;195;31;35;20;325;34;185;32;375
30.09.2006;Bielefeld;Cottbus;3;1;H;20;32;375;20;325;34;20;33;36;21;31;32;20;32;32;20;325;34;20;30;34;183;325;40;20;325;325
30.09.2006;Ein Frankfurt;Hamburg;2;2;D;25;32;275;255;315;255;255;32;265;255;31;255;238;32;26;255;32;255;25;29;262;238;31;28;24;31;26
