,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,HomeAttack,HomeDefend,AwayAttack,AwayDefend,HomeAttackOld,HomeDefendOld,AwayAttackOld,AwayDefendOld,HomeEloOld,AwayEloOld
20,26.08.2006,Bochum,Cottbus,0.0,1.0,A,0.0,0.0,D,21.0,12.0,8.0,5.0,25.0,20.0,9.0,2.0,2.0,6.0,0.0,0.0,-19,9,0.2978515625,-1.271484375,0.927001953125,-0.8905029296875,0.7734375,-1.421875,0.9375,-1.484375,-9.49227520607292,0.0
21,26.08.2006,Hannover,Aachen,0.0,3.0,A,0.0,1.0,A,8.0,5.0,4.0,3.0,7.0,14.0,6.0,1.0,1.0,1.0,0.0,0.0,-20,0,0.2431640625,-3.40234375,1.03564453125,-0.7557373046875,0.640625,-3.03125,-0.0625,-1.2578125,-10.0,-10.0
22,26.08.2006,Leverkusen,Wolfsburg,1.0,1.0,D,0.0,0.0,D,17.0,15.0,9.0,5.0,18.0,19.0,8.0,6.0,0.0,1.0,1.0,0.0,22,0,1.3355712890625,-0.9656982421875,0.3579254150390625,-0.3116912841796875,1.330078125,-0.73828125,-0.0341796875,0.0341796875,23.50497247084133,0.0
23,26.08.2006,M'gladbach,Bielefeld,1.0,0.0,H,0.0,0.0,D,9.0,8.0,5.0,3.0,13.0,10.0,5.0,4.0,0.0,1.0,0.0,0.0,26,-19,0.6787109375,-0.0736083984375,0.6695098876953125,-1.5235595703125,0.640625,-0.3349609375,1.0859375,-1.7734375,17.65534746362977,-10.287743683319974
24,26.08.2006,Stuttgart,Dortmund,1.0,3.0,A,1.0,2.0,A,22.0,9.0,13.0,4.0,18.0,30.0,12.0,6.0,3.0,2.0,0.0,0.0,-19,9,1.1837158203125,-2.5714111328125,1.4520111083984375,-0.9282073974609375,1.2783203125,-1.8017578125,0.4375,-0.921875,-10.0,0.28774368331997313
25,27.08.2006,Hamburg,Hertha,1.0,1.0,D,1.0,0.0,H,29.0,13.0,11.0,12.0,19.0,20.0,7.0,9.0,3.0,3.0,1.0,1.0,0,25,1.219970703125,-1.0283203125,1.4652099609375,-0.269378662109375,1.126953125,-1.1953125,1.75,0.125,0.0,26.725952546628776
26,27.08.2006,Mainz,Ein Frankfurt,1.0,1.0,D,0.0,1.0,A,13.0,10.0,8.0,4.0,25.0,28.0,5.0,5.0,4.0,0.0,0.0,2.0,9,0,1.096923828125,-0.939453125,0.553466796875,-0.533782958984375,1.009765625,-0.7578125,0.2734375,-0.2734375,10.0,0.0
27,15.09.2006,Wolfsburg,Hannover,1.0,2.0,A,0.0,0.0,D,9.0,11.0,3.0,5.0,27.0,25.0,3.0,3.0,2.0,0.0,0.0,0.0,-10,-9,0.29841041564941406,-1.1644115447998047,1.0064260959625244,-2.5891635417938232,0.3579254150390625,-0.3116912841796875,0.2431640625,-3.40234375,0.0,-20.0
28,16.09.2006,Aachen,M'gladbach,4.0,2.0,H,2.0,0.0,H,14.0,12.0,9.0,7.0,23.0,12.0,3.0,5.0,3.0,2.0,0.0,0.0,9,6,2.6380767822265625,-1.3874969482421875,1.2507572174072266,-1.7162456512451172,1.03564453125,-0.7557373046875,0.6787109375,-0.0736083984375,-10.0,26.852810294609906
29,16.09.2006,Bielefeld,Bayern Munich,2.0,1.0,H,1.0,1.0,D,11.0,15.0,6.0,9.0,25.0,12.0,2.0,11.0,3.0,1.0,0.0,0.0,0,6,1.4075641632080078,-1.3372039794921875,0.9079532623291016,-0.8784520626068115,0.6695098876953125,-1.5235595703125,0.920166015625,-0.0870361328125,-10.287743683319974,17.449651363990405
30,16.09.2006,Cottbus,Mainz,2.0,0.0,H,0.0,0.0,D,10.0,5.0,6.0,2.0,20.0,23.0,3.0,2.0,2.0,1.0,0.0,0.0,18,-8,1.461944580078125,-0.4194488525390625,0.6331462860107422,-1.4044151306152344,0.927001953125,-0.8905029296875,1.096923828125,-0.939453125,0.0,9.712256316680026
31,16.09.2006,Dortmund,Hamburg,1.0,0.0,H,0.0,0.0,D,19.0,15.0,7.0,10.0,12.0,23.0,11.0,4.0,2.0,1.0,0.0,0.0,10,-9,1.2789669036865234,-0.42763328552246094,0.7090275287628174,-0.9828293323516846,1.4520111083984375,-0.9282073974609375,1.219970703125,-1.0283203125,0.28774368331997313,0.7677210876890161
32,16.09.2006,Nurnberg,Bochum,1.0,1.0,D,1.0,1.0,D,22.0,4.0,13.0,4.0,8.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,9,-18,0.8500118255615234,-0.3420524597167969,0.6434006690979004,-1.1884262561798096,0.8143157958984375,0.193145751953125,0.2978515625,-1.271484375,10.50772479392708,-19.219133521185764
33,16.09.2006,Werder Bremen,Stuttgart,2.0,3.0,A,2.0,1.0,H,17.0,21.0,9.0,12.0,12.0,21.0,8.0,5.0,2.0,3.0,0.0,0.0,0,-8,1.501251220703125,-2.211000442504883,1.9634473323822021,-2.419475555419922,1.3162841796875,-1.3743438720703125,1.1837158203125,-2.5714111328125,10.675497244732632,-19.703981443961766
34,17.09.2006,Ein Frankfurt,Leverkusen,3.0,1.0,H,0.0,0.0,D,16.0,19.0,8.0,12.0,19.0,22.0,4.0,6.0,3.0,4.0,0.0,0.0,19,3,1.7252044677734375,-0.6666679382324219,1.2513985633850098,-1.8879108428955078,0.553466796875,-0.533782958984375,1.3355712890625,-0.9656982421875,0.0,22.829475226108702
35,17.09.2006,Hertha,Schalke 04,2.0,0.0,H,1.0,0.0,H,10.0,14.0,5.0,8.0,19.0,17.0,5.0,8.0,1.0,3.0,0.0,0.0,43,1,1.9234466552734375,-0.005596160888671875,0.8131279945373535,-0.7211170196533203,1.4652099609375,-0.269378662109375,1.3021240234375,0.0615234375,26.725952546628776,18.295320560072682
36,22.09.2006,M'gladbach,Dortmund,1.0,0.0,H,1.0,0.0,H,9.0,8.0,5.0,3.0,22.0,26.0,5.0,8.0,2.0,3.0,0.0,0.0,36,0,1.228269100189209,-0.9127826690673828,0.6852564811706543,-0.613737165927887,1.2507572174072266,-1.7162456512451172,1.2789669036865234,-0.42763328552246094,26.852810294609906,10.301558534734838
37,23.09.2006,Bayern Munich,Aachen,2.0,1.0,H,1.0,1.0,D,21.0,6.0,13.0,5.0,11.0,23.0,9.0,4.0,2.0,3.0,0.0,0.0,27,0,1.394033670425415,-0.7192729413509369,2.0588888712227345,-1.6929313838481903,0.9079532623291016,-0.8784520626068115,2.6380767822265625,-1.3874969482421875,17.449651363990405,9.887530123225154
38,23.09.2006,Hamburg,Werder Bremen,1.0,1.0,D,0.0,0.0,D,10.0,14.0,4.0,7.0,22.0,25.0,3.0,7.0,2.0,3.0,1.0,0.0,0,0,0.6667671501636505,-0.9266119301319122,1.322455521672964,-1.7985293827950954,0.7090275287628174,-0.9828293323516846,1.501251220703125,-2.211000442504883,0.7677210876890161,-0.19667281506947454
39,23.09.2006,Hannover,Leverkusen,1.0,1.0,D,0.0,1.0,A,16.0,12.0,8.0,6.0,20.0,15.0,12.0,3.0,2.0,0.0,0.0,0.0,-18,21,0.8930274546146393,-1.9618023931980133,1.0368988029658794,-1.5683158449828625,1.0064260959625244,-2.5891635417938232,1.2513985633850098,-1.8879108428955078,-20.0,22.829475226108702
