club;League as atSep 15, 2019;Value Sep 15, 2019;Squad size Sep 15, 2019;Current value;Current squad size;Difference;%
;;€4.24bn;533;€3.99bn  ;509;€-252.18m;-5.9 %
Bayern Munich;Bundesliga;€867.40m;25;€769.50m;26;€-97.90m;-11.3 %
Borussia Dortmund;Bundesliga;€634.10m;27;€538.65m;34;€-95.45m;-15.1 %
RB Leipzig;Bundesliga;€521.10m;36;€449.20m;25;€-71.90m;-13.8 %
Bayer 04 Leverkusen;Bundesliga;€413.10m;24;€434.05m;27;€20.95m;5.1 %
Eintracht Frankfurt;Bundesliga;€204.05m;32;€224.00m;32;€19.95m;9.8 %
VfL Wolfsburg;Bundesliga;€224.90m;28;€222.70m;28;€-2.20m;-1.0 %
Borussia Mönchengladbach;Bundesliga;€257.00m;29;€204.20m;26;€-52.80m;-20.5 %
TSG 1899 Hoffenheim;Bundesliga;€242.50m;28;€200.70m;30;€-41.80m;-17.2 %
VfB Stuttgart;2. Bundesliga;€79.63m;29;€165.30m;31;€85.68m;107.6 %
SC Freiburg;Bundesliga;€121.03m;29;€158.45m;27;€37.43m;30.9 %
1.FSV Mainz 05;Bundesliga;€150.35m;31;€123.10m;25;€-27.25m;-18.1 %
1. FC Köln;Bundesliga;€94.80m;28;€94.08m;28;€-725Th.;-0.8 %
FC Augsburg;Bundesliga;€128.25m;35;€93.70m;28;€-34.55m;-26.9 %
Hertha BSC;Bundesliga;€223.20m;34;€90.55m;31;€-132.65m;-59.4 %
1.FC Union Berlin;Bundesliga;€35.45m;33;€82.10m;28;€46.65m;131.6 %
Arminia Bielefeld;2. Bundesliga;€18.00m;27;€57.15m;25;€39.15m;217.5 %
VfL Bochum;2. Bundesliga;€15.20m;30;€51.00m;30;€35.80m;235.5 %
SpVgg Greuther Fürth;2. Bundesliga;€12.65m;28;€32.10m;28;€19.45m;153.8 %
SV Werder Bremen;Bundesliga;€169.98m;29;€42.30m;27;€-127.68m;-75.1 %
Hamburger SV;2. Bundesliga;€48.70m;28;€37.30m;26;€-11.40m;-23.4 %
FC Schalke 04;Bundesliga;€206.48m;27;€35.40m;27;€-171.08m;-82.9 %
1.FC Nuremberg;2. Bundesliga;€43.70m;30;€26.68m;28;€-17.03m;-39.0 %
FC St. Pauli;2. Bundesliga;€21.03m;34;€25.00m;30;€3.98m;18.9 %
Fortuna Düsseldorf;Bundesliga;€81.55m;32;€23.85m;30;€-57.70m;-70.8 %
Hannover 96;2. Bundesliga;€52.75m;27;€20.23m;26;€-32.53m;-61.7 %
SV Darmstadt 98;2. Bundesliga;€15.85m;29;€19.15m;27;€3.30m;20.8 %
SC Paderborn 07;Bundesliga;€24.70m;29;€17.70m;30;€-7.00m;-28.3 %
1.FC Heidenheim 1846;2. Bundesliga;€18.68m;28;€17.45m;26;€-1.23m;-6.6 %
Karlsruher SC;2. Bundesliga;€9.30m;28;€16.55m;28;€7.25m;78.0 %
SSV Jahn Regensburg;2. Bundesliga;€11.65m;26;€16.20m;26;€4.55m;39.1 %
Holstein Kiel;2. Bundesliga;€19.88m;27;€16.00m;29;€-3.88m;-19.5 %
SV Sandhausen;2. Bundesliga;€13.95m;29;€13.35m;27;€-600Th.;-4.3 %
FC Hansa Rostock;3. Liga;€7.35m;28;€13.20m;31;€5.85m;79.6 %
SG Dynamo Dresden;2. Bundesliga;€17.30m;24;€12.95m;29;€-4.35m;-25.1 %
FC Ingolstadt 04;3. Liga;€8.30m;25;€12.00m;34;€3.70m;44.6 %
FC Erzgebirge Aue;2. Bundesliga;€12.35m;27;€9.83m;32;€-2.53m;-20.4 %
