club;Squad;ø age;Foreigners;ø market value;Total market value
Bayern Munich;31;25. Jul;14;€8.04m;€249.20m
SV Werder Bremen;37;24. Feb;17;€4.31m;€159.55m
FC Schalke 04;34;26.0;19;€3.70m;€125.85m
Hamburger SV;36;24. Jan;24;€3.36m;€120.90m
VfB Stuttgart;35;24. Sep;17;€3.11m;€108.85m
Bayer 04 Leverkusen;31;24. Feb;12;€2.90m;€90.05m
Hertha BSC;36;24. Mai;22;€2.25m;€81.00m
Borussia Dortmund;34;25. Mai;17;€2.36m;€80.30m
VfL Wolfsburg;39;25. Jun;25;€2.03m;€79.00m
Eintracht Frankfurt;34;25. Jan;17;€1.99m;€67.80m
Hannover 96;31;27. Apr;15;€1.94m;€60.20m
1.FC Nuremberg;33;25. Aug;21;€1.74m;€57.45m
VfL Bochum;33;25. Sep;17;€1.27m;€41.95m
Karlsruher SC;27;25. Mai;9;€1.38m;€37.35m
Arminia Bielefeld;34;26. Apr;11;€1.03m;€34.85m
FC Energie Cottbus;39;26. Jan;24;€794Th.;€30.95m
MSV Duisburg;38;26. Mrz;21;€768Th.;€29.20m
FC Hansa Rostock;31;26. Apr;12;€889Th.;€27.55m
