club;Squad;ø age;Foreigners;ø market value;Total market value
Bayern Munich;29;26. Jan;15;€9.64m;€279.55m
VfL Wolfsburg;31;25. Aug;19;€5.01m;€155.43m
SV Werder Bremen;38;24. Apr;17;€3.79m;€143.95m
Hamburger SV;35;24. Sep;19;€3.89m;€136.28m
FC Schalke 04;40;24. Mrz;23;€3.36m;€134.55m
Bayer 04 Leverkusen;30;24. Jun;14;€4.43m;€132.90m
VfB Stuttgart;34;25. Feb;14;€3.67m;€124.65m
Borussia Dortmund;34;24.0;13;€3.22m;€109.40m
TSG 1899 Hoffenheim;33;23. Mrz;16;€2.95m;€97.50m
Hertha BSC;33;25. Jan;21;€1.88m;€61.98m
Eintracht Frankfurt;36;25. Jun;20;€1.64m;€59.20m
1. FC Köln;33;24. Aug;18;€1.79m;€59.13m
Borussia Mönchengladbach;30;25. Mai;15;€1.83m;€55.00m
Hannover 96;39;25. Sep;22;€1.30m;€50.88m
1.FSV Mainz 05;41;26.0;22;€1.19m;€48.78m
1.FC Nuremberg;33;24. Aug;16;€1.45m;€47.70m
VfL Bochum;32;26. Mai;16;€1.25m;€39.90m
SC Freiburg;32;24. Aug;20;€1.23m;€39.45m
