club;League as atSep 15, 2018;Value Sep 15, 2018;Squad size Sep 15, 2018;Current value;Current squad size;Difference;%
;;€3.39bn;516;€3.99bn  ;509;€605.53m;17.9 %
Bayern Munich;Bundesliga;€827.80m;23;€769.50m;26;€-58.30m;-7.0 %
Borussia Dortmund;Bundesliga;€412.30m;29;€538.65m;34;€126.35m;30.6 %
RB Leipzig;Bundesliga;€316.00m;24;€449.20m;25;€133.20m;42.2 %
Bayer 04 Leverkusen;Bundesliga;€377.20m;26;€434.05m;27;€56.85m;15.1 %
Eintracht Frankfurt;Bundesliga;€147.90m;36;€224.00m;32;€76.10m;51.5 %
VfL Wolfsburg;Bundesliga;€148.25m;30;€222.70m;28;€74.45m;50.2 %
Borussia Mönchengladbach;Bundesliga;€209.65m;30;€204.20m;26;€-5.45m;-2.6 %
TSG 1899 Hoffenheim;Bundesliga;€214.85m;30;€200.70m;30;€-14.15m;-6.6 %
VfB Stuttgart;Bundesliga;€165.10m;24;€165.30m;31;€200Th.;0.1 %
SC Freiburg;Bundesliga;€85.65m;29;€158.45m;27;€72.80m;85.0 %
1.FSV Mainz 05;Bundesliga;€101.95m;31;€123.10m;25;€21.15m;20.7 %
1. FC Köln;2. Bundesliga;€76.50m;28;€94.08m;28;€17.58m;23.0 %
FC Augsburg;Bundesliga;€100.80m;31;€93.70m;28;€-7.10m;-7.0 %
Hertha BSC;Bundesliga;€135.53m;35;€90.55m;31;€-44.98m;-33.2 %
1.FC Union Berlin;2. Bundesliga;€19.95m;28;€82.10m;28;€62.15m;311.5 %
Arminia Bielefeld;2. Bundesliga;€17.30m;28;€57.15m;25;€39.85m;230.3 %
VfL Bochum;2. Bundesliga;€15.25m;26;€51.00m;30;€35.75m;234.4 %
SpVgg Greuther Fürth;2. Bundesliga;€13.03m;28;€32.10m;28;€19.08m;146.4 %
SV Werder Bremen;Bundesliga;€118.40m;33;€42.30m;27;€-76.10m;-64.3 %
Hamburger SV;2. Bundesliga;€58.40m;33;€37.30m;26;€-21.10m;-36.1 %
FC Schalke 04;Bundesliga;€256.40m;28;€35.40m;27;€-221.00m;-86.2 %
1.FC Nuremberg;Bundesliga;€41.60m;27;€26.68m;28;€-14.93m;-35.9 %
FC St. Pauli;2. Bundesliga;€16.58m;30;€25.00m;30;€8.43m;50.8 %
Fortuna Düsseldorf;Bundesliga;€38.95m;30;€23.85m;30;€-15.10m;-38.8 %
Hannover 96;Bundesliga;€91.50m;26;€20.23m;26;€-71.28m;-77.9 %
SV Darmstadt 98;2. Bundesliga;€15.10m;27;€19.15m;27;€4.05m;26.8 %
SC Paderborn 07;2. Bundesliga;€8.95m;28;€17.70m;30;€8.75m;97.8 %
1.FC Heidenheim 1846;2. Bundesliga;€12.75m;28;€17.45m;26;€4.70m;36.9 %
Karlsruher SC;3. Liga;€5.93m;28;€16.55m;28;€10.63m;179.3 %
SSV Jahn Regensburg;2. Bundesliga;€11.25m;29;€16.20m;26;€4.95m;44.0 %
Holstein Kiel;2. Bundesliga;€14.75m;27;€16.00m;29;€1.25m;8.5 %
SV Sandhausen;2. Bundesliga;€14.10m;29;€13.35m;27;€-750Th.;-5.3 %
FC Hansa Rostock;3. Liga;€5.63m;25;€13.20m;31;€7.58m;134.7 %
SG Dynamo Dresden;2. Bundesliga;€18.53m;27;€12.95m;29;€-5.58m;-30.1 %
FC Ingolstadt 04;2. Bundesliga;€22.65m;28;€12.00m;34;€-10.65m;-47.0 %
FC Erzgebirge Aue;2. Bundesliga;€11.95m;29;€9.83m;32;€-2.13m;-17.8 %
