club;League as atSep 15, 2012;Value Sep 15, 2012;Squad size Sep 15, 2012;Current value;Current squad size;Difference;%
;;€1.45bn;502;€3.99bn  ;509;€2.55bn;176.1 %
Bayern Munich;Bundesliga;€416.45m;27;€769.50m;26;€353.05m;84.8 %
Borussia Dortmund;Bundesliga;€210.75m;27;€538.65m;34;€327.90m;155.6 %
RB Leipzig;Regionalliga Nordost;€5.83m;27;€449.20m;25;€443.38m;7611.6 %
Bayer 04 Leverkusen;Bundesliga;€129.75m;26;€434.05m;27;€304.30m;234.5 %
Eintracht Frankfurt;Bundesliga;€44.60m;30;€224.00m;32;€179.40m;402.2 %
VfL Wolfsburg;Bundesliga;€115.70m;35;€222.70m;28;€107.00m;92.5 %
Borussia Mönchengladbach;Bundesliga;€89.20m;27;€204.20m;26;€115.00m;128.9 %
TSG 1899 Hoffenheim;Bundesliga;€77.95m;29;€200.70m;30;€122.75m;157.5 %
VfB Stuttgart;Bundesliga;€93.65m;26;€165.30m;31;€71.65m;76.5 %
SC Freiburg;Bundesliga;€46.15m;28;€158.45m;27;€112.30m;243.3 %
1.FSV Mainz 05;Bundesliga;€45.80m;26;€123.10m;25;€77.30m;168.8 %
1. FC Köln;2. Bundesliga;€25.15m;29;€94.08m;28;€68.93m;274.1 %
FC Augsburg;Bundesliga;€40.95m;28;€93.70m;28;€52.75m;128.8 %
Hertha BSC;2. Bundesliga;€37.10m;28;€90.55m;31;€53.45m;144.1 %
1.FC Union Berlin;2. Bundesliga;€14.60m;26;€82.10m;28;€67.50m;462.3 %
Arminia Bielefeld;3. Liga;€5.98m;25;€57.15m;25;€51.18m;856.5 %
VfL Bochum;2. Bundesliga;€15.70m;28;€51.00m;30;€35.30m;224.8 %
SpVgg Greuther Fürth;Bundesliga;€29.90m;30;€32.10m;28;€2.20m;7.4 %
SV Werder Bremen;Bundesliga;€82.35m;32;€42.30m;27;€-40.05m;-48.6 %
Hamburger SV;Bundesliga;€109.40m;29;€37.30m;26;€-72.10m;-65.9 %
FC Schalke 04;Bundesliga;€152.00m;25;€35.40m;27;€-116.60m;-76.7 %
1.FC Nuremberg;Bundesliga;€41.05m;25;€26.68m;28;€-14.38m;-35.0 %
FC St. Pauli;2. Bundesliga;€15.65m;26;€25.00m;30;€9.35m;59.7 %
Fortuna Düsseldorf;Bundesliga;€25.20m;31;€23.85m;30;€-1.35m;-5.4 %
Hannover 96;Bundesliga;€77.45m;27;€20.23m;26;€-57.23m;-73.9 %
SV Darmstadt 98;3. Liga;€4.03m;25;€19.15m;27;€15.13m;375.8 %
SC Paderborn 07;2. Bundesliga;€12.45m;25;€17.70m;30;€5.25m;42.2 %
1.FC Heidenheim 1846;3. Liga;€6.43m;29;€17.45m;26;€11.03m;171.6 %
Karlsruher SC;3. Liga;€8.80m;26;€16.55m;28;€7.75m;88.1 %
SSV Jahn Regensburg;2. Bundesliga;€6.70m;27;€16.20m;26;€9.50m;141.8 %
Holstein Kiel;Regionalliga Nord;€3.35m;22;€16.00m;29;€12.65m;377.6 %
SV Sandhausen;2. Bundesliga;€10.90m;27;€13.35m;27;€2.45m;22.5 %
FC Hansa Rostock;3. Liga;€6.68m;25;€13.20m;31;€6.53m;97.8 %
SG Dynamo Dresden;2. Bundesliga;€16.90m;28;€12.95m;29;€-3.95m;-23.4 %
FC Ingolstadt 04;2. Bundesliga;€15.65m;28;€12.00m;34;€-3.65m;-23.3 %
FC Erzgebirge Aue;2. Bundesliga;€12.15m;24;€9.83m;32;€-2.33m;-19.1 %
