club;League as atSep 15, 2011;Value Sep 15, 2011;Squad size Sep 15, 2011;Current value;Current squad size;Difference;%
;;€1.34bn;492;€3.99bn  ;509;€2.65bn;198.4 %
Bayern Munich;Bundesliga;€334.85m;24;€769.50m;26;€434.65m;129.8 %
Borussia Dortmund;Bundesliga;€175.70m;28;€538.65m;34;€362.95m;206.6 %
RB Leipzig;RL Nord (bis 11/12);€5.58m;26;€449.20m;25;€443.63m;7957.4 %
Bayer 04 Leverkusen;Bundesliga;€140.30m;25;€434.05m;27;€293.75m;209.4 %
Eintracht Frankfurt;2. Bundesliga;€40.75m;29;€224.00m;32;€183.25m;449.7 %
VfL Wolfsburg;Bundesliga;€98.03m;34;€222.70m;28;€124.68m;127.2 %
Borussia Mönchengladbach;Bundesliga;€61.85m;25;€204.20m;26;€142.35m;230.2 %
TSG 1899 Hoffenheim;Bundesliga;€83.45m;27;€200.70m;30;€117.25m;140.5 %
VfB Stuttgart;Bundesliga;€92.90m;25;€165.30m;31;€72.40m;77.9 %
SC Freiburg;Bundesliga;€54.23m;25;€158.45m;27;€104.23m;192.2 %
1.FSV Mainz 05;Bundesliga;€51.95m;28;€123.10m;25;€71.15m;137.0 %
1. FC Köln;Bundesliga;€66.58m;29;€94.08m;28;€27.50m;41.3 %
FC Augsburg;Bundesliga;€29.05m;30;€93.70m;28;€64.65m;222.5 %
Hertha BSC;Bundesliga;€45.78m;27;€90.55m;31;€44.78m;97.8 %
1.FC Union Berlin;2. Bundesliga;€10.65m;26;€82.10m;28;€71.45m;670.9 %
Arminia Bielefeld;3. Liga;€5.38m;26;€57.15m;25;€51.78m;963.3 %
VfL Bochum;2. Bundesliga;€21.28m;31;€51.00m;30;€29.73m;139.7 %
SpVgg Greuther Fürth;2. Bundesliga;€18.90m;27;€32.10m;28;€13.20m;69.8 %
SV Werder Bremen;Bundesliga;€102.40m;34;€42.30m;27;€-60.10m;-58.7 %
Hamburger SV;Bundesliga;€91.45m;32;€37.30m;26;€-54.15m;-59.2 %
FC Schalke 04;Bundesliga;€125.55m;28;€35.40m;27;€-90.15m;-71.8 %
1.FC Nuremberg;Bundesliga;€42.90m;27;€26.68m;28;€-16.23m;-37.8 %
FC St. Pauli;2. Bundesliga;€25.68m;28;€25.00m;30;€-675Th.;-2.6 %
Fortuna Düsseldorf;2. Bundesliga;€18.53m;27;€23.85m;30;€5.33m;28.7 %
Hannover 96;Bundesliga;€69.15m;28;€20.23m;26;€-48.93m;-70.8 %
SV Darmstadt 98;3. Liga;€3.65m;27;€19.15m;27;€15.50m;424.7 %
SC Paderborn 07;2. Bundesliga;€11.20m;26;€17.70m;30;€6.50m;58.0 %
1.FC Heidenheim 1846;3. Liga;€5.55m;26;€17.45m;26;€11.90m;214.4 %
Karlsruher SC;2. Bundesliga;€13.18m;29;€16.55m;28;€3.38m;25.6 %
SSV Jahn Regensburg;3. Liga;€3.43m;23;€16.20m;26;€12.78m;373.0 %
Holstein Kiel;RL Nord (bis 11/12);€3.45m;25;€16.00m;29;€12.55m;363.8 %
SV Sandhausen;3. Liga;€5.70m;25;€13.35m;27;€7.65m;134.2 %
FC Hansa Rostock;2. Bundesliga;€11.40m;24;€13.20m;31;€1.80m;15.8 %
SG Dynamo Dresden;2. Bundesliga;€14.70m;28;€12.95m;29;€-1.75m;-11.9 %
FC Ingolstadt 04;2. Bundesliga;€13.00m;26;€12.00m;34;€-1.00m;-7.7 %
FC Erzgebirge Aue;2. Bundesliga;€13.65m;25;€9.83m;32;€-3.83m;-28.0 %
1.FC Kaiserslautern;Bundesliga;€42.60m;37;;;;
