club;League as atSep 15, 2016;Value Sep 15, 2016;Squad size Sep 15, 2016;Current value;Current squad size;Difference;%
;;€2.19bn;516;€3.99bn  ;509;€1.80bn;82.2 %
Bayern Munich;Bundesliga;€582.23m;26;€769.50m;26;€187.28m;32.2 %
Borussia Dortmund;Bundesliga;€339.50m;29;€538.65m;34;€199.15m;58.7 %
RB Leipzig;Bundesliga;€70.88m;26;€449.20m;25;€378.33m;533.8 %
Bayer 04 Leverkusen;Bundesliga;€253.80m;28;€434.05m;27;€180.25m;71.0 %
Eintracht Frankfurt;Bundesliga;€61.35m;30;€224.00m;32;€162.65m;265.1 %
VfL Wolfsburg;Bundesliga;€189.60m;31;€222.70m;28;€33.10m;17.5 %
Borussia Mönchengladbach;Bundesliga;€165.60m;29;€204.20m;26;€38.60m;23.3 %
TSG 1899 Hoffenheim;Bundesliga;€86.23m;29;€200.70m;30;€114.48m;132.8 %
VfB Stuttgart;2. Bundesliga;€42.38m;30;€165.30m;31;€122.93m;290.1 %
SC Freiburg;Bundesliga;€43.65m;30;€158.45m;27;€114.80m;263.0 %
1.FSV Mainz 05;Bundesliga;€79.95m;31;€123.10m;25;€43.15m;54.0 %
1. FC Köln;Bundesliga;€73.85m;24;€94.08m;28;€20.23m;27.4 %
FC Augsburg;Bundesliga;€61.20m;29;€93.70m;28;€32.50m;53.1 %
Hertha BSC;Bundesliga;€78.58m;26;€90.55m;31;€11.98m;15.2 %
1.FC Union Berlin;2. Bundesliga;€18.00m;29;€82.10m;28;€64.10m;356.1 %
Arminia Bielefeld;2. Bundesliga;€12.80m;28;€57.15m;25;€44.35m;346.5 %
VfL Bochum;2. Bundesliga;€16.03m;33;€51.00m;30;€34.98m;218.3 %
SpVgg Greuther Fürth;2. Bundesliga;€14.15m;28;€32.10m;28;€17.95m;126.9 %
SV Werder Bremen;Bundesliga;€67.75m;33;€42.30m;27;€-25.45m;-37.6 %
Hamburger SV;Bundesliga;€80.15m;30;€37.30m;26;€-42.85m;-53.5 %
FC Schalke 04;Bundesliga;€212.18m;32;€35.40m;27;€-176.78m;-83.3 %
1.FC Nuremberg;2. Bundesliga;€18.68m;26;€26.68m;28;€8.00m;42.8 %
FC St. Pauli;2. Bundesliga;€18.28m;27;€25.00m;30;€6.73m;36.8 %
Fortuna Düsseldorf;2. Bundesliga;€14.00m;30;€23.85m;30;€9.85m;70.4 %
Hannover 96;2. Bundesliga;€34.80m;31;€20.23m;26;€-14.58m;-41.9 %
SV Darmstadt 98;Bundesliga;€26.95m;30;€19.15m;27;€-7.80m;-28.9 %
SC Paderborn 07;3. Liga;€5.60m;25;€17.70m;30;€12.10m;216.1 %
1.FC Heidenheim 1846;2. Bundesliga;€12.28m;26;€17.45m;26;€5.18m;42.2 %
Karlsruher SC;2. Bundesliga;€16.85m;28;€16.55m;28;€-300Th.;-1.8 %
SSV Jahn Regensburg;3. Liga;€4.75m;27;€16.20m;26;€11.45m;241.1 %
Holstein Kiel;3. Liga;€5.83m;24;€16.00m;29;€10.18m;174.7 %
SV Sandhausen;2. Bundesliga;€12.53m;29;€13.35m;27;€825Th.;6.6 %
FC Hansa Rostock;3. Liga;€5.60m;24;€13.20m;31;€7.60m;135.7 %
SG Dynamo Dresden;2. Bundesliga;€9.40m;26;€12.95m;29;€3.55m;37.8 %
FC Ingolstadt 04;Bundesliga;€37.00m;26;€12.00m;34;€-25.00m;-67.6 %
FC Erzgebirge Aue;2. Bundesliga;€9.68m;29;€9.83m;32;€150Th.;1.6 %
